Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
4,5000,15,6,5846125.0,0.005214417,5,0.243212,46.64222289855223,Realistic
4,5000,16,6,5896350.0,0.004560166,5,1.21125975,265.6174687500411,Realistic
4,5000,17,6,5899675.0,0.003440249,5,0.211859375,61.582570040715076,Realistic
4,5000,18,6,5851875.0,0.004557417,5,0.770098083,168.97687505883266,Realistic
4,5000,19,6,5879850.0,0.004784667,5,0.285860792,59.745180176593266,Realistic
8,500,0,6,2477925.0,0.000592542,5,0.024186875,40.81883647066368,Random
8,500,1,6,2497925.0,0.000655667,5,0.02449375,37.356996768176536,Random
8,500,2,6,2491012.5,0.000698375,5,0.042508042,60.867072847682124,Random
8,500,3,6,2466168.75,0.00046825,5,0.017183209,36.696655632674855,Random
8,500,4,5,2496131.25,0.000744291,5,0.021069125,28.307644456267777,Random
8,500,5,2,2467431.25,0.000674376,5,0.022873916,33.91863886022041,Random
8,500,6,3,2464937.5,0.000988458,5,0.023612333,23.888048859941442,Random
8,500,7,6,2438650.0,0.000532292,5,0.019006459,35.70682820707432,Random
8,500,8,6,2455962.5,0.000762125,5,0.023042417,30.234432671805806,Random
8,500,9,6,2465550.0,0.0008835,5,0.025077917,28.38473910582909,Random
