Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
4,2500,7,5,3411675.0,0.0059935,5,3556425.0,4.07009848373015,Realistic
4,2500,8,5,3459925.0,0.007361292,5,3569950.0,3.0819759380383482,Realistic
4,2500,9,6,3495750.0,0.006246459,5,3593700.0,2.7256031388262794,Realistic
4,2500,10,1,3481000.0,0.005843834,5,3568825.0,2.460893991719964,Realistic
4,2500,11,5,3448175.0,0.004492083,5,3567550.0,3.346133901416939,Realistic
4,2500,12,6,3429125.0,0.00505275,5,3556275.0,3.5753702961666347,Realistic
4,2500,13,5,3450375.0,0.004542874,5,3554950.0,2.941672878662147,Realistic
4,2500,14,6,3396275.0,0.005454625,5,3581550.0,5.173039605757284,Realistic
4,2500,15,6,3400275.0,0.006440417,5,3557775.0,4.426924130952632,Realistic
4,2500,16,4,3475675.0,0.006091625,5,3593875.0,3.288929080727627,Realistic
4,2500,17,1,3380300.0,0.005781917,5,3538350.0,4.466771235180239,Realistic
4,2500,18,6,3475425.0,0.0048375,5,3570575.0,2.6648368960181483,Realistic
4,2500,19,6,3389975.0,0.004597833,5,3550600.0,4.523883287331719,Realistic
4,5000,0,6,5882750.0,0.004433542,5,6135925.0,4.126109755252876,Realistic
4,5000,1,3,5834400.0,0.00443725,5,6125525.0,4.75265385415944,Realistic
4,5000,2,6,5811500.0,0.005179666,5,6126650.0,5.143920413276423,Realistic
4,5000,3,6,5875500.0,0.005608792,5,6186675.0,5.0297615439634376,Realistic
4,5000,4,6,5776825.0,0.00527575,5,6064800.0,4.748301675240733,Realistic
4,5000,5,6,5926150.0,0.004776624,5,6105275.0,2.9339382746886913,Realistic
4,5000,6,6,5801075.0,0.003779708,5,6172875.0,6.02312536702914,Realistic
4,5000,7,6,5696850.0,0.005255792,5,6072650.0,6.1884020979308865,Realistic
4,5000,8,6,5917675.0,0.003959792,5,6196900.0,4.505881973244687,Realistic
4,5000,9,5,5893925.0,0.0057445,5,6259575.0,5.84145089722545,Realistic
4,5000,10,6,5931925.0,0.006835208,5,6162200.0,3.7368959137970204,Realistic
4,5000,11,6,5914125.0,0.004372959,5,6066250.0,2.507727179064496,Realistic
4,5000,12,4,5841350.0,0.00579925,5,6153525.0,5.073108502849992,Realistic
4,5000,13,6,5862175.0,0.004579666,5,6198325.0,5.42323934288699,Realistic
4,5000,14,5,5918675.0,0.00461175,5,6196575.0,4.484735519218278,Realistic
4,5000,15,6,5846125.0,0.005214417,5,6092500.0,4.043906442347148,Realistic
4,5000,16,6,5896350.0,0.004560166,5,6132450.0,3.850011007020033,Realistic
4,5000,17,6,5899675.0,0.003440249,5,6203425.0,4.896488633295316,Realistic
4,5000,18,6,5851875.0,0.004557417,5,6110475.0,4.2320768843666,Realistic
4,5000,19,6,5879850.0,0.004784667,5,6172850.0,4.746591930793718,Realistic
8,500,0,6,2477925.0,0.000592542,5,2495956.25,0.7224185119430679,Random
8,500,1,6,2497925.0,0.000655667,5,2511881.25,0.5556094660127743,Random
8,500,2,6,2491012.5,0.000698375,5,2514418.75,0.9308811430077032,Random
8,500,3,6,2466168.75,0.00046825,5,2487600.0,0.8615231548480463,Random
8,500,4,5,2496131.25,0.000744291,5,2508556.25,0.495304819256096,Random
